Age_Group,Gender,Occupation,City_Tier,Income,Monthly_Spending,Monthly_Savings,Budget_Following,Spending_Category,Tracking_Frequency,Food_Order_Frequency,Impulse_Purchase,Subscriptions,Spending_Trigger,Post_Spending_Feeling,Purchase_Decision,Discount_Influence,Financial_Goal,Financial_Awareness,Discipline_Score,App_Usage,App_Drop_Reason,Preferred_Feature,Spending_Combination,Lifestyle,App_Interest
35-44,Male,Professional,Tier1,50000-100000,62865,18045,No,Travel,Weekly,Rarely,Never,4,Need-based,Guilty,Plan,Moderate,Debt,No,2,Yes,Not useful,Spending prediction,Food+Shopping,Balanced,No
25-34,Female,Self-employed,Tier3,20000-50000,38252,7587,Yes,Entertainment,Never,Rarely,Rarely,1,Emotional,Dont notice,Compare,Not at all,Debt,Yes,1,Yes,Too manual,Saving suggestions,Food+Entertainment,Balanced,No
18-24,Female,Self-employed,Tier3,Below 20000,16281,718,Yes,Shopping,Weekly,Daily,Rarely,4,Need-based,Guilty,Plan,Moderate,Managing expenses,Yes,3,Yes,Too manual,Expense tracking,Food+Shopping,Luxury,Maybe
25-34,Male,Student,Tier1,100000+,81139,33755,No,Food,Never,Rarely,Rarely,2,Emotional,Neutral,Plan,Not at all,Managing expenses,Yes,3,Yes,Too manual,Expense tracking,Food+Entertainment,Luxury,Maybe
18-24,Female,Student,Tier2,20000-50000,25729,3276,Yes,Travel,Daily,Daily,Sometimes,2,Social,Dont notice,Compare,Strongly,Saving,Yes,3,No,Time-consuming,Saving suggestions,Food+Entertainment,Balanced,Maybe
25-34,Male,Homemaker,Tier1,100000+,109718,23684,Yes,Shopping,Never,Rarely,Very often,0,Emotional,Dont notice,Instant,Strongly,Managing expenses,No,3,Yes,Time-consuming,Saving suggestions,Subscriptions+Entertainment,Luxury,Yes
45+,Male,Student,Tier2,Below 20000,17371,1371,Yes,Bills,Occasionally,Weekly,Rarely,1,Social,Dont notice,Plan,Not at all,Debt,Yes,4,No,Time-consuming,Saving suggestions,Shopping+Travel,Luxury,Yes
18-24,Female,Professional,Tier1,20000-50000,35390,6012,Yes,Food,Daily,3-4/week,Rarely,0,Discounts,Dont notice,Compare,Not at all,Saving,No,2,No,Not useful,Spending prediction,Shopping+Travel,Balanced,No
25-34,Female,Homemaker,Tier1,20000-50000,19015,4669,Yes,Travel,Never,3-4/week,Sometimes,5,Emotional,Dont notice,Compare,Strongly,Saving,Yes,3,No,Not useful,Budget alerts,Food+Entertainment,Luxury,Yes
18-24,Female,Student,Tier2,Below 20000,16996,931,No,Bills,Weekly,Weekly,Never,0,Need-based,Guilty,Plan,Not at all,Investing,Sometimes,3,Yes,None,Saving suggestions,Food+Entertainment,Luxury,Maybe
25-34,Male,Homemaker,Tier2,50000-100000,48712,12606,Yes,Shopping,Weekly,Rarely,Rarely,3,Social,Neutral,Compare,Strongly,Investing,Sometimes,2,No,Too manual,Spending prediction,Shopping+Travel,Luxury,Yes
18-24,Male,Self-employed,Tier1,20000-50000,17072,9484,Yes,Bills,Never,Weekly,Rarely,5,Discounts,Neutral,Instant,Strongly,Managing expenses,Sometimes,4,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Balanced,Yes
25-34,Female,Student,Tier1,20000-50000,31701,4490,Yes,Shopping,Daily,Daily,Never,5,Need-based,Neutral,Compare,Strongly,Managing expenses,No,4,No,None,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
35-44,Male,Self-employed,Tier1,100000+,101377,14053,Yes,Bills,Never,Weekly,Sometimes,5,Social,Neutral,Instant,Not at all,Debt,Yes,3,Yes,Not useful,Spending prediction,Food+Shopping,Balanced,Yes
18-24,Male,Student,Tier3,20000-50000,22862,9816,No,Travel,Occasionally,Daily,Never,0,Need-based,Dont notice,Instant,Not at all,Investing,Sometimes,4,No,Too manual,Budget alerts,Food+Entertainment,Balanced,No
45+,Female,Student,Tier1,20000-50000,35092,3841,No,Food,Never,Rarely,Never,4,Discounts,Neutral,Plan,Strongly,Saving,No,2,Yes,Time-consuming,Expense tracking,Subscriptions+Entertainment,Minimalist,Yes
25-34,Female,Self-employed,Tier3,50000-100000,53011,15132,No,Food,Weekly,Rarely,Never,3,Discounts,Guilty,Plan,Not at all,Investing,No,1,Yes,Time-consuming,Expense tracking,Shopping+Travel,Luxury,Maybe
25-34,Male,Professional,Tier1,20000-50000,24966,8146,Yes,Bills,Never,3-4/week,Sometimes,4,Emotional,Guilty,Compare,Strongly,Saving,No,4,Yes,Not useful,Spending prediction,Subscriptions+Entertainment,Luxury,No
25-34,Female,Professional,Tier3,Below 20000,10582,1093,Yes,Bills,Daily,Rarely,Very often,2,Need-based,Guilty,Instant,Not at all,Investing,No,3,Yes,Too manual,Saving suggestions,Food+Shopping,Balanced,Yes
18-24,Female,Student,Tier3,50000-100000,65667,5409,Yes,Bills,Never,Daily,Never,2,Need-based,Neutral,Instant,Strongly,Saving,Sometimes,5,No,None,Budget alerts,Food+Entertainment,Balanced,Yes
45+,Female,Professional,Tier2,50000-100000,50096,8472,Yes,Shopping,Weekly,Rarely,Never,2,Emotional,Guilty,Instant,Strongly,Managing expenses,Sometimes,5,No,Time-consuming,Saving suggestions,Food+Shopping,Luxury,Yes
35-44,Female,Professional,Tier2,Below 20000,8348,1791,Yes,Entertainment,Occasionally,Rarely,Sometimes,1,Need-based,Guilty,Plan,Not at all,Managing expenses,Sometimes,1,Yes,Not useful,Budget alerts,Shopping+Travel,Luxury,Maybe
45+,Male,Homemaker,Tier2,50000-100000,41609,16733,No,Entertainment,Weekly,Daily,Very often,3,Need-based,Neutral,Plan,Moderate,Saving,Yes,3,No,None,Saving suggestions,Shopping+Travel,Luxury,Yes
18-24,Female,Professional,Tier1,Below 20000,16812,466,Yes,Bills,Never,3-4/week,Never,2,Need-based,Neutral,Plan,Moderate,Saving,Yes,4,No,None,Saving suggestions,Food+Entertainment,Balanced,Maybe
45+,Female,Professional,Tier1,20000-50000,37487,5704,Yes,Food,Never,3-4/week,Sometimes,1,Discounts,Guilty,Plan,Strongly,Managing expenses,Sometimes,5,No,None,Spending prediction,Subscriptions+Entertainment,Balanced,Maybe
35-44,Female,Self-employed,Tier2,50000-100000,55440,19952,No,Bills,Never,Daily,Never,2,Social,Dont notice,Plan,Not at all,Saving,No,4,No,Time-consuming,Saving suggestions,Food+Shopping,Balanced,No
25-34,Female,Self-employed,Tier3,20000-50000,35237,8778,No,Shopping,Daily,3-4/week,Rarely,3,Emotional,Neutral,Plan,Moderate,Saving,No,2,No,Not useful,Budget alerts,Food+Shopping,Luxury,Yes
25-34,Male,Homemaker,Tier1,100000+,83596,34880,Yes,Bills,Occasionally,Weekly,Sometimes,3,Emotional,Dont notice,Instant,Strongly,Investing,Yes,2,Yes,None,Expense tracking,Food+Entertainment,Minimalist,Maybe
25-34,Female,Professional,Tier2,20000-50000,39550,7213,No,Shopping,Never,3-4/week,Sometimes,5,Emotional,Neutral,Plan,Moderate,Debt,No,3,Yes,Time-consuming,Expense tracking,Shopping+Travel,Luxury,Yes
45+,Male,Homemaker,Tier2,20000-50000,46970,9447,Yes,Shopping,Never,Rarely,Never,1,Emotional,Neutral,Compare,Moderate,Investing,No,5,Yes,Not useful,Spending prediction,Food+Entertainment,Balanced,Yes
25-34,Male,Professional,Tier2,50000-100000,62337,17841,Yes,Bills,Daily,Rarely,Never,2,Emotional,Guilty,Instant,Moderate,Investing,Sometimes,1,No,Too manual,Budget alerts,Food+Entertainment,Balanced,Maybe
45+,Male,Student,Tier3,100000+,94037,33596,Yes,Bills,Daily,3-4/week,Never,5,Social,Neutral,Compare,Not at all,Managing expenses,Sometimes,4,Yes,None,Spending prediction,Shopping+Travel,Balanced,No
25-34,Male,Student,Tier3,20000-50000,15286,2205,No,Travel,Daily,Daily,Sometimes,2,Social,Guilty,Plan,Moderate,Saving,Sometimes,2,Yes,Time-consuming,Budget alerts,Subscriptions+Entertainment,Balanced,Maybe
45+,Male,Professional,Tier1,100000+,69987,12673,No,Food,Occasionally,Weekly,Never,4,Social,Neutral,Instant,Not at all,Saving,No,5,Yes,Too manual,Expense tracking,Food+Shopping,Balanced,Yes
35-44,Female,Self-employed,Tier1,50000-100000,50593,16558,Yes,Entertainment,Occasionally,Daily,Very often,3,Emotional,Dont notice,Compare,Not at all,Investing,Yes,5,No,Too manual,Expense tracking,Food+Entertainment,Minimalist,Maybe
45+,Female,Homemaker,Tier3,20000-50000,30484,4036,No,Travel,Occasionally,Daily,Very often,5,Social,Dont notice,Instant,Not at all,Investing,No,4,No,None,Saving suggestions,Shopping+Travel,Balanced,Maybe
45+,Female,Professional,Tier2,20000-50000,34320,8192,No,Bills,Weekly,Rarely,Rarely,0,Emotional,Neutral,Compare,Moderate,Debt,No,5,Yes,Not useful,Spending prediction,Subscriptions+Entertainment,Luxury,Yes
45+,Female,Professional,Tier2,50000-100000,44710,19924,No,Travel,Never,3-4/week,Very often,0,Discounts,Guilty,Compare,Moderate,Saving,Sometimes,5,No,Too manual,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
18-24,Male,Student,Tier3,100000+,60155,38849,Yes,Food,Occasionally,Weekly,Very often,4,Need-based,Dont notice,Compare,Not at all,Investing,Sometimes,2,No,Time-consuming,Expense tracking,Food+Entertainment,Balanced,Yes
35-44,Male,Self-employed,Tier1,20000-50000,26739,6456,No,Food,Weekly,Rarely,Very often,2,Need-based,Neutral,Plan,Moderate,Saving,No,2,No,None,Spending prediction,Food+Shopping,Balanced,Maybe
25-34,Female,Professional,Tier2,100000+,104844,12855,No,Entertainment,Occasionally,Daily,Never,2,Discounts,Dont notice,Instant,Strongly,Managing expenses,Yes,5,No,Not useful,Expense tracking,Food+Entertainment,Minimalist,Yes
25-34,Female,Student,Tier1,100000+,141156,12118,Yes,Travel,Never,Daily,Sometimes,2,Need-based,Guilty,Compare,Moderate,Managing expenses,Sometimes,2,Yes,Time-consuming,Spending prediction,Shopping+Travel,Luxury,Yes
45+,Female,Student,Tier3,Below 20000,14143,1061,No,Entertainment,Daily,Daily,Never,5,Emotional,Guilty,Compare,Strongly,Saving,No,1,Yes,Too manual,Budget alerts,Shopping+Travel,Minimalist,Yes
18-24,Female,Self-employed,Tier1,50000-100000,69513,14301,No,Travel,Occasionally,Daily,Sometimes,5,Social,Dont notice,Instant,Not at all,Investing,Yes,4,No,Not useful,Expense tracking,Food+Entertainment,Minimalist,No
25-34,Female,Homemaker,Tier3,20000-50000,20859,2306,No,Food,Weekly,Rarely,Sometimes,0,Social,Dont notice,Compare,Moderate,Managing expenses,Yes,4,No,Time-consuming,Spending prediction,Food+Entertainment,Balanced,Maybe
45+,Male,Student,Tier3,50000-100000,46087,7205,Yes,Food,Never,Weekly,Never,0,Discounts,Guilty,Instant,Moderate,Debt,Yes,5,Yes,Time-consuming,Expense tracking,Shopping+Travel,Balanced,Yes
45+,Male,Homemaker,Tier2,20000-50000,38523,2742,Yes,Travel,Never,3-4/week,Sometimes,4,Social,Dont notice,Instant,Moderate,Investing,No,4,No,Time-consuming,Expense tracking,Subscriptions+Entertainment,Balanced,Yes
35-44,Male,Professional,Tier2,50000-100000,46300,8080,Yes,Bills,Occasionally,Daily,Rarely,4,Need-based,Dont notice,Compare,Moderate,Investing,No,1,No,Not useful,Budget alerts,Subscriptions+Entertainment,Minimalist,Yes
35-44,Female,Homemaker,Tier3,100000+,65517,26920,No,Bills,Occasionally,3-4/week,Never,0,Need-based,Neutral,Instant,Moderate,Investing,No,4,No,Not useful,Spending prediction,Food+Entertainment,Balanced,No
35-44,Female,Student,Tier1,Below 20000,11127,1089,Yes,Food,Daily,Rarely,Never,4,Discounts,Guilty,Plan,Strongly,Saving,No,4,No,None,Expense tracking,Food+Shopping,Luxury,Yes
35-44,Female,Self-employed,Tier1,Below 20000,15995,993,Yes,Bills,Occasionally,3-4/week,Never,2,Need-based,Guilty,Plan,Not at all,Saving,Sometimes,3,Yes,Too manual,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
45+,Female,Self-employed,Tier3,20000-50000,25187,8132,No,Entertainment,Weekly,Rarely,Never,2,Emotional,Neutral,Instant,Not at all,Debt,No,2,No,Not useful,Budget alerts,Food+Shopping,Minimalist,Maybe
35-44,Male,Self-employed,Tier3,50000-100000,53374,14545,Yes,Bills,Weekly,Rarely,Rarely,2,Emotional,Guilty,Compare,Not at all,Debt,Yes,1,Yes,None,Saving suggestions,Subscriptions+Entertainment,Luxury,Maybe
25-34,Male,Student,Tier1,Below 20000,9498,2774,Yes,Food,Occasionally,Daily,Very often,5,Need-based,Dont notice,Plan,Strongly,Investing,No,3,No,Time-consuming,Spending prediction,Shopping+Travel,Luxury,Yes
45+,Male,Professional,Tier2,20000-50000,27264,4275,Yes,Entertainment,Daily,Weekly,Rarely,3,Need-based,Guilty,Plan,Strongly,Managing expenses,Yes,2,Yes,None,Saving suggestions,Shopping+Travel,Luxury,No
25-34,Male,Homemaker,Tier2,50000-100000,63821,13121,No,Shopping,Never,Weekly,Never,1,Need-based,Neutral,Plan,Strongly,Saving,No,2,No,Too manual,Saving suggestions,Food+Entertainment,Luxury,Yes
25-34,Female,Student,Tier2,Below 20000,14767,2805,Yes,Entertainment,Never,Weekly,Very often,4,Social,Guilty,Compare,Not at all,Saving,Sometimes,2,Yes,Too manual,Expense tracking,Subscriptions+Entertainment,Minimalist,Yes
35-44,Male,Self-employed,Tier3,Below 20000,10092,47,Yes,Entertainment,Daily,3-4/week,Sometimes,2,Discounts,Dont notice,Instant,Moderate,Debt,Sometimes,4,Yes,Not useful,Saving suggestions,Food+Entertainment,Minimalist,No
35-44,Female,Student,Tier2,Below 20000,25628,1840,Yes,Entertainment,Weekly,Weekly,Never,3,Emotional,Guilty,Compare,Not at all,Managing expenses,No,3,No,Too manual,Spending prediction,Subscriptions+Entertainment,Minimalist,No
25-34,Female,Homemaker,Tier3,20000-50000,29229,9329,No,Travel,Never,Rarely,Never,4,Emotional,Guilty,Instant,Moderate,Managing expenses,No,3,Yes,Not useful,Saving suggestions,Subscriptions+Entertainment,Minimalist,Yes
45+,Male,Self-employed,Tier3,Below 20000,12042,2381,No,Food,Never,Daily,Very often,5,Social,Neutral,Compare,Not at all,Investing,Sometimes,1,No,Time-consuming,Expense tracking,Subscriptions+Entertainment,Balanced,Maybe
35-44,Female,Homemaker,Tier3,20000-50000,15747,9426,Yes,Food,Weekly,3-4/week,Rarely,3,Emotional,Dont notice,Plan,Strongly,Managing expenses,Sometimes,2,No,Too manual,Budget alerts,Shopping+Travel,Luxury,Yes
25-34,Male,Self-employed,Tier1,100000+,75323,27092,Yes,Food,Daily,Daily,Rarely,2,Discounts,Guilty,Compare,Not at all,Debt,No,5,No,Not useful,Expense tracking,Food+Shopping,Minimalist,Yes
25-34,Male,Student,Tier3,20000-50000,32405,7739,No,Travel,Occasionally,Rarely,Sometimes,4,Discounts,Dont notice,Instant,Not at all,Managing expenses,No,4,Yes,Too manual,Spending prediction,Food+Shopping,Balanced,Maybe
25-34,Male,Self-employed,Tier3,Below 20000,17309,1630,No,Shopping,Never,Weekly,Sometimes,4,Discounts,Neutral,Compare,Moderate,Investing,Sometimes,5,No,None,Expense tracking,Food+Entertainment,Minimalist,Yes
18-24,Male,Student,Tier2,100000+,72754,11532,Yes,Food,Never,Daily,Rarely,3,Need-based,Guilty,Instant,Not at all,Managing expenses,Yes,3,Yes,Too manual,Expense tracking,Food+Entertainment,Balanced,Maybe
18-24,Female,Student,Tier3,Below 20000,13969,1450,No,Bills,Daily,Daily,Never,2,Need-based,Dont notice,Instant,Strongly,Managing expenses,Sometimes,4,No,None,Expense tracking,Shopping+Travel,Luxury,Maybe
18-24,Female,Professional,Tier3,100000+,106861,27598,No,Travel,Occasionally,3-4/week,Never,0,Discounts,Dont notice,Instant,Not at all,Debt,No,4,Yes,Time-consuming,Budget alerts,Subscriptions+Entertainment,Minimalist,No
45+,Male,Homemaker,Tier2,100000+,107123,16961,No,Food,Occasionally,Weekly,Rarely,0,Discounts,Guilty,Plan,Not at all,Debt,Yes,1,No,Too manual,Expense tracking,Food+Shopping,Luxury,No
45+,Male,Self-employed,Tier1,100000+,113591,34918,No,Entertainment,Never,Daily,Never,5,Discounts,Neutral,Compare,Strongly,Investing,No,2,No,Not useful,Budget alerts,Food+Entertainment,Minimalist,Yes
18-24,Male,Student,Tier3,50000-100000,53042,19472,Yes,Travel,Daily,3-4/week,Very often,4,Social,Dont notice,Instant,Strongly,Saving,Sometimes,4,Yes,Time-consuming,Budget alerts,Food+Shopping,Luxury,Yes
35-44,Female,Homemaker,Tier1,Below 20000,10714,2218,No,Shopping,Never,Daily,Rarely,5,Need-based,Guilty,Instant,Moderate,Managing expenses,Yes,5,No,Too manual,Saving suggestions,Subscriptions+Entertainment,Balanced,Maybe
35-44,Male,Student,Tier1,Below 20000,9671,1932,Yes,Bills,Weekly,3-4/week,Very often,3,Need-based,Guilty,Compare,Moderate,Investing,Yes,3,Yes,Not useful,Spending prediction,Food+Shopping,Luxury,Yes
18-24,Male,Student,Tier1,Below 20000,11886,94,Yes,Travel,Weekly,Weekly,Rarely,4,Discounts,Guilty,Plan,Not at all,Managing expenses,Yes,1,No,Too manual,Spending prediction,Subscriptions+Entertainment,Luxury,Maybe
45+,Male,Self-employed,Tier3,50000-100000,58137,5729,No,Bills,Daily,Daily,Rarely,1,Emotional,Dont notice,Plan,Not at all,Saving,Yes,3,No,Not useful,Saving suggestions,Food+Shopping,Balanced,No
45+,Female,Student,Tier2,50000-100000,39946,15616,Yes,Shopping,Weekly,Rarely,Very often,0,Need-based,Neutral,Compare,Moderate,Saving,Yes,3,No,None,Saving suggestions,Food+Shopping,Minimalist,Maybe
18-24,Female,Student,Tier2,Below 20000,13650,2800,No,Shopping,Daily,Weekly,Rarely,4,Discounts,Guilty,Compare,Strongly,Managing expenses,No,3,No,Time-consuming,Spending prediction,Food+Entertainment,Minimalist,Maybe
35-44,Female,Homemaker,Tier2,50000-100000,35230,16959,Yes,Food,Never,Daily,Never,5,Discounts,Guilty,Instant,Strongly,Saving,Sometimes,3,Yes,Not useful,Expense tracking,Food+Shopping,Luxury,Maybe
35-44,Female,Homemaker,Tier3,20000-50000,19680,7596,No,Bills,Never,Rarely,Sometimes,3,Discounts,Guilty,Compare,Strongly,Managing expenses,Sometimes,5,No,Too manual,Budget alerts,Food+Shopping,Minimalist,No
25-34,Male,Self-employed,Tier2,Below 20000,15026,2055,No,Bills,Never,Weekly,Very often,1,Social,Guilty,Plan,Strongly,Managing expenses,No,2,No,Time-consuming,Spending prediction,Food+Shopping,Luxury,Yes
25-34,Female,Student,Tier1,20000-50000,18208,5287,Yes,Bills,Occasionally,Weekly,Sometimes,4,Discounts,Neutral,Instant,Not at all,Managing expenses,Yes,1,Yes,None,Budget alerts,Food+Entertainment,Minimalist,Yes
45+,Female,Self-employed,Tier1,50000-100000,54508,17536,No,Bills,Weekly,Daily,Rarely,1,Emotional,Neutral,Instant,Moderate,Debt,Sometimes,2,Yes,Not useful,Budget alerts,Shopping+Travel,Minimalist,Maybe
25-34,Female,Homemaker,Tier2,Below 20000,8513,1631,Yes,Bills,Weekly,3-4/week,Never,4,Need-based,Neutral,Plan,Moderate,Saving,No,3,Yes,Too manual,Budget alerts,Subscriptions+Entertainment,Balanced,No
18-24,Male,Professional,Tier2,20000-50000,36923,6017,No,Food,Daily,Weekly,Never,1,Social,Neutral,Plan,Not at all,Saving,No,1,Yes,Not useful,Expense tracking,Shopping+Travel,Luxury,No
25-34,Female,Professional,Tier2,50000-100000,61224,17637,Yes,Food,Daily,Weekly,Sometimes,3,Social,Dont notice,Compare,Not at all,Debt,Sometimes,4,Yes,Time-consuming,Spending prediction,Shopping+Travel,Luxury,Yes
25-34,Female,Homemaker,Tier2,20000-50000,31758,2844,No,Food,Occasionally,Daily,Sometimes,2,Need-based,Guilty,Instant,Strongly,Debt,No,1,No,None,Budget alerts,Food+Shopping,Balanced,Yes
45+,Female,Professional,Tier2,Below 20000,9560,84,Yes,Bills,Weekly,Daily,Sometimes,5,Need-based,Guilty,Instant,Not at all,Saving,Sometimes,3,Yes,Time-consuming,Expense tracking,Food+Shopping,Minimalist,Yes
18-24,Male,Student,Tier2,100000+,51251,18813,No,Shopping,Occasionally,Weekly,Sometimes,3,Social,Neutral,Instant,Moderate,Investing,No,4,No,Time-consuming,Expense tracking,Subscriptions+Entertainment,Minimalist,Yes
18-24,Female,Self-employed,Tier2,20000-50000,34031,4473,No,Food,Occasionally,Weekly,Never,2,Emotional,Dont notice,Instant,Moderate,Saving,Sometimes,4,No,None,Spending prediction,Shopping+Travel,Luxury,Maybe
25-34,Female,Homemaker,Tier2,100000+,161332,12704,Yes,Entertainment,Never,Daily,Rarely,2,Need-based,Dont notice,Plan,Strongly,Debt,No,5,Yes,Not useful,Spending prediction,Subscriptions+Entertainment,Balanced,Maybe
18-24,Female,Professional,Tier2,Below 20000,21222,473,No,Travel,Weekly,3-4/week,Rarely,5,Emotional,Guilty,Compare,Moderate,Debt,Sometimes,3,No,Not useful,Saving suggestions,Food+Entertainment,Minimalist,Maybe
25-34,Male,Homemaker,Tier3,50000-100000,68462,7268,No,Entertainment,Weekly,3-4/week,Rarely,4,Social,Dont notice,Plan,Strongly,Investing,Yes,2,No,Time-consuming,Saving suggestions,Food+Entertainment,Balanced,Yes
25-34,Male,Homemaker,Tier2,50000-100000,42311,15877,No,Entertainment,Daily,3-4/week,Rarely,3,Discounts,Guilty,Compare,Strongly,Debt,No,3,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Minimalist,Maybe
35-44,Male,Professional,Tier1,50000-100000,47696,16315,No,Shopping,Daily,Weekly,Very often,3,Social,Guilty,Instant,Not at all,Saving,Sometimes,3,Yes,None,Saving suggestions,Shopping+Travel,Minimalist,Yes
18-24,Female,Student,Tier3,50000-100000,65496,16812,No,Shopping,Daily,3-4/week,Never,1,Discounts,Guilty,Compare,Moderate,Debt,No,1,Yes,Too manual,Spending prediction,Subscriptions+Entertainment,Luxury,Maybe
25-34,Male,Homemaker,Tier1,Below 20000,15704,2978,Yes,Shopping,Weekly,Rarely,Rarely,4,Social,Neutral,Compare,Not at all,Investing,Sometimes,2,No,Not useful,Expense tracking,Food+Entertainment,Balanced,Yes
18-24,Male,Student,Tier3,20000-50000,26362,6893,No,Shopping,Never,Daily,Sometimes,0,Need-based,Neutral,Compare,Moderate,Investing,Sometimes,5,No,Not useful,Budget alerts,Food+Shopping,Balanced,Maybe
35-44,Female,Homemaker,Tier1,50000-100000,33818,13369,Yes,Food,Never,Rarely,Rarely,2,Discounts,Guilty,Instant,Moderate,Debt,No,2,No,Too manual,Expense tracking,Shopping+Travel,Balanced,Maybe
35-44,Female,Student,Tier1,50000-100000,48992,12967,Yes,Bills,Occasionally,Daily,Rarely,2,Emotional,Dont notice,Compare,Strongly,Investing,Yes,1,Yes,Time-consuming,Budget alerts,Food+Entertainment,Luxury,No
35-44,Female,Self-employed,Tier2,20000-50000,39122,9164,No,Travel,Weekly,Daily,Sometimes,4,Emotional,Dont notice,Plan,Strongly,Saving,Yes,5,Yes,None,Budget alerts,Food+Entertainment,Minimalist,No
18-24,Male,Student,Tier2,20000-50000,24430,9331,Yes,Food,Never,Daily,Rarely,2,Social,Guilty,Compare,Moderate,Investing,Yes,2,No,None,Expense tracking,Food+Shopping,Luxury,Yes
45+,Male,Student,Tier1,50000-100000,32357,12897,No,Bills,Occasionally,Daily,Very often,2,Need-based,Guilty,Instant,Moderate,Investing,No,3,Yes,Too manual,Spending prediction,Shopping+Travel,Luxury,Yes
45+,Female,Homemaker,Tier1,Below 20000,10646,1645,Yes,Shopping,Never,3-4/week,Sometimes,4,Discounts,Dont notice,Instant,Strongly,Managing expenses,Sometimes,2,No,None,Budget alerts,Subscriptions+Entertainment,Minimalist,Maybe
18-24,Male,Student,Tier3,Below 20000,9697,796,Yes,Shopping,Occasionally,Weekly,Never,2,Social,Neutral,Instant,Not at all,Saving,No,1,Yes,Not useful,Budget alerts,Food+Entertainment,Balanced,Maybe
45+,Female,Self-employed,Tier2,100000+,114046,35151,Yes,Bills,Occasionally,3-4/week,Rarely,3,Need-based,Neutral,Compare,Moderate,Investing,Yes,3,Yes,Time-consuming,Expense tracking,Subscriptions+Entertainment,Balanced,Maybe
35-44,Male,Student,Tier2,20000-50000,39227,8914,Yes,Shopping,Never,3-4/week,Sometimes,5,Emotional,Dont notice,Compare,Not at all,Saving,Sometimes,5,No,Time-consuming,Expense tracking,Shopping+Travel,Luxury,Yes
35-44,Male,Student,Tier3,Below 20000,11031,1747,No,Travel,Occasionally,Daily,Sometimes,1,Need-based,Neutral,Instant,Strongly,Managing expenses,No,2,Yes,Not useful,Expense tracking,Food+Entertainment,Minimalist,Maybe
18-24,Female,Self-employed,Tier1,20000-50000,17393,8506,Yes,Shopping,Occasionally,Rarely,Sometimes,5,Need-based,Neutral,Instant,Strongly,Debt,Sometimes,2,Yes,Not useful,Budget alerts,Food+Entertainment,Luxury,Yes
18-24,Female,Student,Tier1,50000-100000,33870,12706,No,Shopping,Occasionally,Weekly,Rarely,4,Discounts,Dont notice,Compare,Strongly,Debt,Yes,3,No,None,Budget alerts,Subscriptions+Entertainment,Minimalist,No
25-34,Female,Student,Tier1,Below 20000,16153,883,Yes,Bills,Occasionally,Weekly,Rarely,3,Social,Guilty,Instant,Strongly,Debt,No,2,Yes,Not useful,Budget alerts,Food+Shopping,Balanced,No
35-44,Female,Self-employed,Tier3,100000+,64371,37650,No,Shopping,Occasionally,Rarely,Never,4,Social,Neutral,Instant,Strongly,Managing expenses,Yes,3,No,None,Budget alerts,Food+Shopping,Balanced,No
18-24,Female,Student,Tier1,20000-50000,28028,7655,No,Entertainment,Occasionally,Daily,Sometimes,1,Need-based,Neutral,Compare,Moderate,Debt,Yes,4,No,None,Spending prediction,Food+Shopping,Luxury,Yes
45+,Female,Self-employed,Tier3,100000+,56769,14459,No,Shopping,Weekly,3-4/week,Very often,0,Emotional,Guilty,Plan,Not at all,Saving,No,1,No,Time-consuming,Expense tracking,Subscriptions+Entertainment,Luxury,Maybe
35-44,Female,Homemaker,Tier2,20000-50000,24926,7167,Yes,Shopping,Occasionally,Weekly,Very often,4,Emotional,Neutral,Compare,Not at all,Investing,No,2,Yes,Too manual,Budget alerts,Subscriptions+Entertainment,Minimalist,Yes
35-44,Female,Homemaker,Tier3,50000-100000,42745,17986,No,Entertainment,Occasionally,3-4/week,Very often,4,Discounts,Dont notice,Compare,Not at all,Debt,Yes,4,Yes,Too manual,Budget alerts,Subscriptions+Entertainment,Luxury,Maybe
35-44,Male,Homemaker,Tier1,100000+,118366,21564,Yes,Travel,Weekly,Daily,Very often,1,Need-based,Neutral,Plan,Moderate,Managing expenses,Sometimes,3,No,Time-consuming,Expense tracking,Food+Entertainment,Balanced,Yes
45+,Female,Self-employed,Tier2,20000-50000,33128,2230,Yes,Travel,Occasionally,Rarely,Never,4,Social,Dont notice,Compare,Strongly,Investing,Yes,2,No,Too manual,Expense tracking,Subscriptions+Entertainment,Minimalist,Yes
45+,Female,Homemaker,Tier1,Below 20000,11553,610,Yes,Entertainment,Never,3-4/week,Sometimes,5,Emotional,Dont notice,Compare,Not at all,Managing expenses,Yes,5,No,Too manual,Spending prediction,Subscriptions+Entertainment,Balanced,No
18-24,Male,Student,Tier1,100000+,64961,20268,Yes,Shopping,Weekly,Rarely,Rarely,3,Need-based,Dont notice,Compare,Not at all,Managing expenses,Yes,5,Yes,None,Expense tracking,Subscriptions+Entertainment,Luxury,Maybe
45+,Male,Professional,Tier1,100000+,81053,26926,No,Entertainment,Never,Rarely,Very often,4,Need-based,Guilty,Instant,Strongly,Managing expenses,Yes,5,Yes,Too manual,Expense tracking,Food+Entertainment,Minimalist,Yes
